STD_YMD,WIAR_SIDO_CD,SGNG_CD,UMD_CD,TOBU_BIDVS_CD,TOBU_MEDVS_CD,PERS_CORP_CLCD,PHOLI_CLCD,TIZO_CLCD,SEX_CLCD,N10_UNIT_AGE_CLCD,HSH_LFTM_MAIN_PRE_CD,EST_INCM_SECT_CD,IFW_AREA_CD,IFW_DISTC_SECT_CD,PAYM_NOCA,SALE_AMT
20250319,41,410,0000000012,10,03,P,0,01,F,50,04,02,A01,01,2,385546
20250314,41,260,0000000014,40,03,C,0,02,M,40,04,03,A08,03,5,396123
20250112,11,110,0000000009,30,03,C,0,02,F,10,04,01,A02,02,5,342205
20250401,11,110,0000000006,20,03,C,1,01,M,60,04,01,A01,01,1,489878
20250304,26,260,0000000001,30,02,P,1,03,F,50,02,02,A03,03,3,428914
20250622,41,410,0000000001,10,02,C,1,01,F,30,04,01,A02,03,3,325569
20250208,26,110,0000000020,40,01,P,1,02,F,20,02,03,A08,02,5,414168
20250413,41,410,0000000018,30,02,C,0,01,F,10,04,02,A08,02,5,194662
20250413,11,260,0000000001,20,02,P,1,04,M,50,04,02,A07,01,2,84016
20250406,41,110,0000000010,20,03,P,0,04,M,20,01,02,A02,02,1,353526
20250130,41,410,0000000004,10,01,C,0,03,F,20,04,02,A06,02,3,79607
20250608,26,260,0000000015,40,03,P,1,03,M,10,04,01,A05,01,4,54949
20250117,11,260,0000000011,20,02,C,1,04,F,40,01,01,A04,03,3,179130
20250531,11,410,0000000013,30,02,P,1,03,F,50,01,03,A08,03,4,149161
20250117,26,410,0000000004,10,03,P,1,03,F,30,02,02,A02,01,3,261986
20250402,41,260,0000000001,10,02,C,0,03,F,50,02,01,A05,03,3,113749
20250502,11,410,0000000018,30,01,P,0,03,F,10,04,02,A01,01,4,238181
20250328,41,410,0000000016,20,01,C,0,03,M,20,03,03,A10,03,2,15271
20250402,11,260,0000000019,30,02,C,0,01,F,50,04,03,A10,02,4,213495
20250213,11,410,0000000002,10,01,C,1,02,M,60,04,03,A03,01,1,379342
20250304,11,410,0000000015,10,03,C,1,04,M,60,01,02,A09,03,2,228301
20250308,26,260,0000000012,30,01,C,0,02,F,50,01,03,A02,03,2,466541
20250617,11,260,0000000019,10,03,C,1,01,F,40,02,01,A07,03,4,166585
20250224,41,260,0000000019,40,02,C,1,02,F,20,01,01,A03,03,2,277598
20250305,11,410,0000000006,40,03,C,0,04,M,60,01,03,A08,03,4,271781
20250307,26,410,0000000016,20,03,C,1,02,M,20,01,01,A06,02,3,476538
20250403,26,410,0000000017,30,02,C,0,02,F,60,04,02,A04,03,2,395588
20250108,11,410,0000000005,20,03,C,1,03,M,60,03,01,A05,01,1,91084
20250223,41,260,0000000005,30,01,P,1,01,M,30,04,03,A02,03,2,192735
20250222,11,260,0000000005,20,01,P,1,02,M,60,01,01,A01,01,3,113658
20250427,26,110,0000000014,10,02,P,1,04,M,60,02,03,A09,03,1,426640
20250416,26,260,0000000009,30,01,P,1,03,M,60,01,02,A06,02,1,246000
20250216,11,410,0000000005,30,01,P,0,03,F,20,02,01,A03,03,4,405973
20250104,26,110,0000000007,40,01,P,0,03,M,30,04,02,A09,01,5,399759
20250421,11,110,0000000017,20,01,C,0,01,M,50,03,03,A06,03,4,48181
20250129,11,110,0000000009,40,02,C,1,01,M,10,02,03,A03,02,4,194708
20250507,41,260,0000000012,20,02,C,0,03,M,30,04,03,A01,03,1,438450
20250206,26,260,0000000005,10,02,P,1,03,M,50,04,01,A05,01,1,84505
20250311,41,410,0000000006,30,03,P,1,01,F,20,04,01,A04,01,5,319200
20250426,41,110,0000000013,30,03,C,1,03,F,10,03,03,A05,03,1,241123
20250503,11,110,0000000015,10,01,C,0,04,F,40,04,03,A01,03,2,477774
20250224,26,410,0000000014,40,02,P,1,03,F,20,04,01,A04,02,5,166748
20250626,41,260,0000000011,40,03,P,1,03,M,20,03,03,A05,01,4,334387
20250620,41,260,0000000006,20,02,P,1,01,F,40,04,01,A02,02,2,339714
20250602,26,410,0000000015,10,01,P,1,04,M,10,04,02,A09,01,1,469299
20250515,41,110,0000000010,40,01,C,1,03,F,40,02,03,A02,01,2,468812
20250420,11,260,0000000012,30,02,C,1,04,F,30,01,02,A10,03,3,193497
20250328,26,410,0000000017,30,02,C,0,04,F,20,02,03,A06,01,4,37814
20250325,26,110,0000000002,20,01,P,0,04,M,50,03,01,A04,02,4,75521
20250318,41,410,0000000001,10,02,C,1,01,F,30,01,02,A08,01,4,265921
20250207,41,260,0000000010,40,01,P,0,01,M,60,03,02,A03,03,4,451449
20250420,41,410,0000000009,20,02,C,0,02,M,30,04,02,A02,02,4,187074
20250426,41,110,0000000008,40,02,P,1,01,M,60,04,03,A01,01,5,42422
20250422,26,110,0000000009,20,01,C,0,02,M,40,02,02,A03,02,2,226769
20250511,26,260,0000000015,10,02,C,0,01,M,30,01,03,A10,01,2,96089
20250605,26,410,0000000002,40,01,C,1,04,M,60,04,01,A06,01,2,326105
20250513,11,260,0000000015,30,02,C,0,03,M,60,02,02,A04,03,4,128232
20250513,11,110,0000000010,40,03,C,1,01,M,50,03,01,A03,01,1,111434
20250117,26,110,0000000009,10,03,P,0,01,M,20,04,02,A07,02,2,272556
20250630,11,410,0000000014,40,02,P,0,04,M,50,02,03,A09,03,3,234128
20250322,11,410,0000000006,10,01,P,0,01,M,30,03,02,A04,02,1,132784
20250115,41,110,0000000003,20,01,P,0,02,M,30,04,03,A04,02,4,70600
20250630,26,110,0000000019,20,02,C,1,01,F,60,01,01,A01,03,2,345916
20250313,26,260,0000000013,20,02,C,0,03,F,50,03,02,A10,03,3,43560
20250206,41,260,0000000012,10,03,C,1,02,M,40,01,03,A03,01,2,307709
20250129,41,410,0000000005,20,03,P,0,02,M,20,02,02,A05,02,4,44685
20250608,41,410,0000000013,40,01,C,0,03,F,60,01,03,A03,01,5,377833
20250602,11,110,0000000015,40,02,P,0,04,F,30,01,03,A06,01,5,68682
20250301,11,410,0000000006,40,02,C,1,02,M,60,01,03,A09,03,5,481578
20250218,26,410,0000000008,30,01,C,0,01,M,10,01,03,A04,01,4,159836
20250127,41,410,0000000006,20,01,P,1,01,F,20,03,03,A06,01,2,12703
20250425,41,410,0000000006,30,01,P,0,02,F,60,04,02,A09,02,5,252257
20250217,11,260,0000000016,40,02,C,1,03,F,60,02,03,A06,01,5,184101
20250302,26,110,0000000012,40,01,P,1,01,M,20,01,01,A09,02,1,47815
20250518,26,110,0000000007,30,03,C,1,01,F,60,04,01,A10,02,2,268230
20250413,11,410,0000000005,40,01,C,1,01,F,30,02,01,A05,01,4,158926
20250627,41,260,0000000015,40,02,C,0,03,M,60,04,01,A07,01,5,353363
20250502,41,110,0000000009,10,01,C,0,01,M,40,04,03,A06,03,3,225941
20250330,11,260,0000000020,40,01,C,0,01,F,10,04,01,A01,01,5,311401
20250531,26,410,0000000019,30,02,P,0,04,F,60,04,03,A06,03,3,416442
20250417,41,410,0000000014,40,02,P,1,01,M,30,01,01,A01,01,5,86723
20250309,11,410,0000000008,30,03,C,0,04,F,60,02,03,A03,02,3,384461
20250501,41,410,0000000017,30,01,C,0,02,F,30,02,03,A08,02,3,287062
20250325,41,410,0000000012,30,02,P,1,01,M,20,01,03,A04,03,3,30803
20250610,41,410,0000000001,30,01,C,1,01,F,10,04,01,A04,03,5,301808
20250504,26,410,0000000015,10,02,C,1,03,M,30,04,02,A02,01,2,263809
20250610,41,110,0000000018,20,01,P,0,01,M,50,01,01,A01,02,4,121736
20250104,26,110,0000000017,30,01,C,1,03,F,20,03,02,A09,02,4,456886
20250112,11,110,0000000010,30,02,P,1,02,F,20,01,03,A07,03,2,232217
20250418,11,260,0000000015,30,01,P,1,04,M,50,04,03,A05,01,1,191874
20250408,41,260,0000000001,40,03,P,1,02,F,60,04,03,A03,03,4,130364
20250212,11,410,0000000017,40,02,P,1,01,F,30,03,03,A06,02,2,323986
20250111,11,110,0000000016,10,03,C,0,01,M,60,02,02,A07,01,3,52272
20250211,41,410,0000000016,30,02,P,1,02,M,10,01,02,A08,02,5,222345
20250302,41,410,0000000002,10,03,P,0,02,F,30,03,03,A08,02,4,400250
20250216,26,260,0000000013,10,03,P,0,01,M,60,02,02,A07,02,3,93738
20250609,41,110,0000000019,30,02,P,1,02,M,20,02,01,A10,01,4,376402
20250131,26,410,0000000006,10,01,P,0,02,F,50,03,02,A08,01,3,422833
20250221,41,260,0000000009,20,01,C,1,03,F,10,02,01,A05,02,5,245042
20250529,41,410,0000000002,10,01,P,0,04,M,20,04,03,A09,01,3,211863
20250522,11,410,0000000005,10,02,P,0,04,F,20,03,01,A10,01,4,247587
20250117,26,110,0000000017,30,03,C,0,03,M,10,02,03,A06,03,3,417086
20250129,11,260,0000000005,10,03,C,1,01,M,40,03,03,A05,03,2,310055
20250320,41,410,0000000002,30,01,C,0,03,M,20,01,03,A10,03,4,165592
20250630,41,410,0000000009,30,01,P,0,01,M,10,01,01,A10,01,2,213824
20250626,41,110,0000000006,30,03,P,0,01,M,30,02,01,A04,02,4,203680
20250502,26,110,0000000012,10,01,C,1,03,F,50,03,03,A06,03,3,484146
20250423,26,410,0000000012,20,03,C,0,03,M,60,04,01,A03,02,5,212468
20250303,26,260,0000000007,20,02,P,1,02,M,50,03,01,A07,03,5,342570
20250205,41,410,0000000009,40,03,P,1,01,M,60,03,02,A05,03,5,394110
20250622,11,410,0000000009,20,02,P,0,04,F,60,04,02,A04,01,1,209848
20250225,11,260,0000000016,30,03,P,1,03,M,30,04,02,A05,02,4,105719
20250611,26,410,0000000006,10,02,C,0,01,F,50,04,02,A09,02,2,167082
20250206,26,260,0000000016,30,03,P,1,02,M,60,04,03,A09,03,2,416132
20250520,41,260,0000000010,20,01,C,0,02,F,40,01,03,A09,03,5,343979
20250403,26,260,0000000010,40,02,P,0,04,M,30,02,03,A07,03,1,260422
20250509,11,110,0000000013,10,03,C,0,02,F,50,01,03,A03,01,2,446113
20250307,41,260,0000000015,40,02,P,1,02,F,10,04,02,A06,03,1,248289
20250415,11,260,0000000018,10,01,P,0,03,F,60,01,01,A10,03,1,178475
20250101,41,110,0000000019,30,01,P,0,01,M,40,02,03,A02,02,3,312554
20250207,41,110,0000000006,10,02,C,1,02,M,20,02,02,A06,01,2,180268
20250531,26,410,0000000006,20,03,C,1,03,F,60,03,03,A03,03,2,171514
20250110,11,110,0000000019,40,02,P,1,02,F,10,01,02,A03,02,5,93555
20250531,41,410,0000000008,20,01,C,0,02,F,40,02,02,A06,02,3,292678
20250604,11,260,0000000017,20,01,C,1,01,F,60,02,02,A04,01,2,174333
20250606,41,260,0000000009,10,03,P,0,03,M,20,01,03,A05,01,5,110133
20250609,41,110,0000000007,30,03,C,0,01,F,60,01,01,A06,01,5,85790
